Year,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea
9,8072,6915,10296,15013,6672,9643,56611,598,107,42,623,129,54,239,14010,14188,3313,8604,13205,4080,5550,4316,325,3416,2140,399,254,96,1,0.006,93
10,8229,6953,10321,15126,6757,9748,57134,769,149,63,817,167,87,324,16801,17063,3995,10391,14729,4971,6669,5186,390,4152,2641,495,358,124,1,0.006,113
1,7442,6334,9505,14059,6425,9136,52901,7,2,1,10,4,2,16,2512,2661,597,1697,1427,792,1030,818,51,695,401,89,3,1,1,0,7
2,7640,6437,9641,14243,6476,9273,53710,25,5,1,28,6,1,25,2670,2736,614,1595,2829,829,1094,825,68,632,429,76,11,3,1,0.001,7
3,7703,6564,9782,14419,6487,9407,54362,44,5,1,46,5,2,22,2631,2801,652,1591,4285,810,1064,896,54,637,471,74,4,1,1,0,12
4,7824,6644,10020,14684,6681,9561,55414,69,12,1,73,17,1,41,2707,2777,646,1699,5762,827,1109,810,75,680,431,84,16,7,1,0.002,15
5,7971,6817,10391,15001,6798,9726,56704,99,15,7,111,16,16,61,2766,2882,687,1674,7258,816,1114,871,76,705,459,79,16,4,1,0.001,19
6,8071,6949,10560,15297,6900,9909,57686,144,30,16,158,39,27,103,5553,5767,1362,3542,8791,1654,2197,1775,124,1462,923,170,48,18,1,0.003,30
7,8316,7080,10458,15353,6951,10054,58212,238,51,18,253,58,29,150,8377,8782,2028,5339,10348,2520,3334,2708,198,2160,1404,247,89,37,1,0.004,62
8,8449,7068,10555,15435,7096,10102,58705,386,77,30,420,88,50,251,11343,11732,2701,7122,11912,3396,4513,3637,256,2862,1877,322,149,67,1,0.005,96
9,8521,7165,10773,15792,7094,10242,59587,584,117,47,636,140,75,358,14312,14692,3432,8898,13440,4312,5714,4569,334,3601,2311,405,246,98,1,0.006,134
10,8580,7245,10703,15889,7175,10364,59956,876,175,63,939,199,100,490,17292,17697,4137,10674,15049,5204,6887,5485,407,4270,2812,487,384,149,1,0.007,171
1,7434,6355,9648,13947,6469,9162,53015,5,0,1,8,1,5,14,2552,2672,631,1666,1446,769,1037,802,52,694,437,66,2,1,1,0,5
2,7609,6509,9700,14195,6489,9091,53593,18,0,3,21,0,4,19,2596,2632,629,1675,2872,863,1005,804,54,676,419,104,9,6,1,0.002,6
3,7880,6486,9926,14338,6414,9325,54369,25,2,6,27,2,7,15,2735,2702,698,1684,4298,820,1083,813,71,693,423,78,6,2,1,0.001,5
4,7915,6650,9841,14353,6477,9264,54500,46,3,6,49,3,7,26,2733,2786,651,1746,5710,726,1109,809,67,692,479,80,8,4,1,0.001,12
5,8045,6645,9849,14336,6652,9506,55033,71,5,7,74,6,9,34,2822,2838,705,1631,7176,858,1174,917,80,618,472,82,12,6,1,0.002,15
6,8046,6596,9988,14480,6665,9696,55471,90,7,7,90,10,9,26,5587,5605,1416,3344,8641,1719,2309,1725,148,1277,941,161,26,13,1,0.002,12
